 Tienda , Código , Cod. barras , Nombre , Descripción , Categorias , Marca , Características , Impuestos , P. costo , Estado , Stock , Stock min , Ubicación , P. venta , Unidad , Nombre de lista de precio , Factor de conversión , Precio al por mayor , Cantidad mínima , Cantidad máxima 
 Tienda Tantamayo , 408 ,  , PT27 PET PLUS ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510409 ,  , CT5 EL ORIGINAL ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510409 ,  , CT5 EL ORIGINAL ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510409 ,  , CT5 EL ORIGINAL ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510410 ,  , LONCHERITA ,  , CONTENEDOR , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510410 ,  , LONCHERITA ,  , CONTENEDOR , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , POLLERÍA ,0,0,0,0
 Tienda Tantamayo , 2510410 ,  , LONCHERITA ,  , CONTENEDOR , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510U08 ,  , DOMO 98 U ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510411 ,  , DELI 800 ,  , PLATOS , HAWAI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510411 ,  , DELI 800 ,  , PLATOS , HAWAI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510411 ,  , DELI 800 ,  , PLATOS , HAWAI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510412 ,  , 6OZ EURO ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510412 ,  , 6OZ EURO ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510413 ,  , Lapicero Azul ,  , OTROS , faber castell ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 414 ,  , 1l DELI THERMOPACK ,  , ENVASES , TERMOPACK ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 414 ,  , 1l DELI THERMOPACK ,  , ENVASES , TERMOPACK ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510415 ,  , B3 PP ALFA ,  , PLATOS , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510415 ,  , B3 PP ALFA ,  , PLATOS , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , POLLERÍA ,0,0,0,0
 Tienda Tantamayo , 2510415 ,  , B3 PP ALFA ,  , PLATOS , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510416 ,  , P26 C HAWAI ,  , PLATOS , HAWAI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510416 ,  , P26 C HAWAI ,  , PLATOS , HAWAI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 417 ,  , 21*24 MILEN ,  , BOLSA , MILEN ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 417 ,  , 21*24 MILEN ,  , BOLSA , MILEN ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 417 ,  , 21*24 MILEN ,  , BOLSA , MILEN ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, FARDO , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510u09 ,  , 21*24 unidad ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510u010 ,  , 16*19 unidad ,  , BOLSA , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , u011 ,  , 19*20 unidad ,  , BOLSA , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , G01 ,  , 21*24 ,  , BOLSA , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510418 ,  , P22 PP ALFA ,  , PLATOS , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510418 ,  , P22 PP ALFA ,  , PLATOS , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510418 ,  , P22 PP ALFA ,  , PLATOS , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , U012 ,  , 8OZ KRAFT ,  , ENVASES , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
